vehicle_category,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
MEDIUM LOW,GB,202050,0.4334061181479151,2020,12,0.65625,0.9491525423728814,0.8823529411764705,0.588235294117647,True
MEDIUM LOW,GB,202101,0.4334061181479151,2021,1,0.65625,0.9491525423728812,0.35294117647058826,0.588235294117647,True
MEDIUM LOW,GB,202103,0.4334061181479151,2021,1,0.65625,0.9491525423728815,0.8235294117647057,0.588235294117647,True
MEDIUM LOW,GB,202104,0.4334061181479151,2021,1,0.65625,1.0545550847457628,1.8235294117647058,1.176470588235294,True
MEDIUM LOW,GB,202106,0.4334061181479151,2021,2,0.65625,1.159957627118644,0.588235294117647,0.588235294117647,True
MEDIUM LOW,GB,202107,0.4334061181479151,2021,2,0.65625,1.159957627118644,0.8235294117647057,0.588235294117647,True
MEDIUM LOW,GB,202108,0.4334061181479151,2021,2,0.65625,1.159957627118644,2.441176470588235,1.764705882352941,True
MEDIUM LOW,GB,202109,0.4334061181479151,2021,3,0.65625,1.159957627118644,0.41176470588235287,0.588235294117647,True
MEDIUM LOW,GB,202111,0.4334061181479151,2021,3,0.65625,1.159957627118644,2.235294117647059,1.176470588235294,True
MEDIUM LOW,GB,202112,0.4334061181479151,2021,3,0.65625,1.1599576271186438,1.0294117647058825,0.588235294117647,True
MEDIUM LOW,GB,202113,0.4334061181479151,2021,3,0.65625,1.159957627118644,1.2352941176470587,0.588235294117647,True
MEDIUM LOW,GB,202114,0.4334061181479151,2021,4,0.65625,1.159957627118644,1.5294117647058822,1.176470588235294,False
MEDIUM LOW,GB,202116,0.4334061181479151,2021,4,0.65625,1.159957627118644,1.3235294117647058,0.588235294117647,False
MEDIUM LOW,GC,202014,0.5945745044790114,2020,4,0.40625,0.8008474576271185,0.23529411764705882,0.588235294117647,True
MEDIUM LOW,GC,202025,0.5945745044790114,2020,6,0.40625,0.8008474576271186,1.176470588235294,0.588235294117647,True
