vehicle_make,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
AB,CU,0.557521158895124,2020,18,0.21875,1.0638297872340425,0.9333333333333332,0.6666666666666666,True
AB,CU,0.557521158895124,2020,19,0.21875,0.851063829787234,0.7999999999999999,0.6666666666666666,True
AB,CU,0.557521158895124,2020,24,0.21875,1.0638297872340425,0.4666666666666666,0.6666666666666666,True
AB,CU,0.557521158895124,2020,27,0.21875,1.0638297872340425,3.066666666666667,2.0,True
AB,CU,0.557521158895124,2020,32,0.21875,1.0638297872340425,0.6,0.6666666666666666,True
AB,CU,0.557521158895124,2020,33,0.21875,1.0638297872340425,1.4000000000000001,1.3333333333333333,True
AB,CU,0.557521158895124,2020,34,0.21875,0.7978723404255319,1.9333333333333333,0.6666666666666666,True
AB,CU,0.557521158895124,2020,36,0.21875,0.7446808510638298,1.4666666666666668,0.6666666666666666,True
AB,CU,0.557521158895124,2020,38,0.21875,0.7446808510638298,1.4666666666666668,0.6666666666666666,True
AB,CU,0.557521158895124,2020,45,0.21875,0.7446808510638298,1.4666666666666668,0.6666666666666666,True
AB,CU,0.557521158895124,2020,46,0.21875,0.7446808510638298,1.4666666666666668,0.6666666666666666,True
AB,CU,0.557521158895124,2020,47,0.21875,1.0638297872340425,1.2000000000000004,0.6666666666666666,True
AB,CU,0.557521158895124,2021,2,0.21875,0.7446808510638298,1.3333333333333333,0.6666666666666666,True
AB,CU,0.557521158895124,2021,5,0.21875,0.7446808510638296,0.9333333333333332,0.6666666666666666,True
AB,CV,0.9435147671892431,2020,43,0.78125,1.5957446808510636,0.9333333333333332,0.6666666666666666,True
AB,CW,0.4696939194913477,2020,3,0.671875,1.1702127659574468,1.4666666666666668,0.6666666666666666,True
AB,CW,0.4696939194913477,2020,19,0.671875,1.1702127659574468,0.7333333333333334,0.6666666666666666,True
AB,CW,0.4696939194913477,2020,23,0.671875,1.1702127659574468,1.2,1.3333333333333333,True
AB,CW,0.4696939194913477,2020,27,0.671875,1.1702127659574468,0.4666666666666666,0.6666666666666666,True
AB,CW,0.4696939194913477,2020,35,0.671875,1.1702127659574466,1.5333333333333334,0.6666666666666666,True
AB,CW,0.4696939194913477,2020,44,0.671875,1.1702127659574468,1.0666666666666667,0.6666666666666666,True
AB,CX,0.7012171082983132,2020,2,0.203125,0.7893617021276595,2.3333333333333335,2.0,True
AB,CX,0.7012171082983132,2020,9,0.203125,0.5920212765957445,1.666666666666667,0.6666666666666666,True
AB,CX,0.7012171082983132,2020,18,0.203125,0.6382978723404256,3.3333333333333335,2.0,True
AB,CX,0.7012171082983132,2020,19,0.203125,0.6382978723404256,0.9333333333333332,0.6666666666666666,True
AB,CX,0.7012171082983132,2020,23,0.203125,0.598404255319149,1.6666666666666667,0.6666666666666666,True
AB,CX,0.7012171082983132,2020,24,0.203125,0.598404255319149,0.9333333333333332,0.6666666666666666,True
AB,CX,0.7012171082983132,2020,25,0.203125,0.598404255319149,6.066666666666666,1.3333333333333333,True
AB,CX,0.7012171082983132,2020,28,0.203125,0.6263600096711799,10.200000000000001,2.0,True
AB,CX,0.7012171082983132,2020,31,0.203125,0.6382978723404255,1.5333333333333334,0.6666666666666666,True
AB,CX,0.7012171082983132,2020,33,0.203125,0.668218085106383,5.133333333333334,2.6666666666666665,True
AB,CX,0.7012171082983132,2020,34,0.203125,0.598404255319149,3.533333333333333,1.3333333333333333,True
AB,CX,0.7012171082983132,2020,35,0.203125,0.7978723404255319,0.4666666666666666,0.6666666666666666,True
AB,CX,0.7012171082983132,2020,36,0.203125,0.6981382978723404,2.3333333333333335,1.3333333333333333,True
AB,CX,0.7012171082983132,2020,37,0.203125,0.598404255319149,1.2666666666666666,0.6666666666666666,True
AB,CX,0.7012171082983132,2020,40,0.203125,0.5984042553191489,1.9333333333333336,0.6666666666666666,True
AB,CX,0.7012171082983132,2020,45,0.203125,0.6482712765957447,5.933333333333334,2.6666666666666665,True
AB,CX,0.7012171082983132,2021,8,0.203125,0.5585106382978723,1.0666666666666667,0.6666666666666666,False
AB,CY,0.4546876703825797,2020,7,0.390625,0.8510638297872339,0.9333333333333332,0.6666666666666666,True
AB,CY,0.4546876703825797,2020,16,0.390625,0.851063829787234,0.4666666666666666,0.6666666666666666,True
AB,CY,0.4546876703825797,2020,30,0.390625,0.851063829787234,0.5333333333333333,0.6666666666666666,True
AB,CY,0.4546876703825797,2020,35,0.390625,0.8510638297872339,1.9333333333333336,0.6666666666666666,True
