vehicle_category,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
LOW END,JB,0.8629181783242036,2021,1,1.03125,1.0425531914893618,1.0000000000000002,0.5555555555555556,True
LOW END,JB,0.8629181783242036,2021,3,1.03125,0.8340425531914893,1.1666666666666667,0.5555555555555556,True
LOW END,JB,0.8629181783242036,2021,4,1.03125,1.0425531914893618,1.0000000000000002,0.5555555555555556,True
LOW END,JB,0.8629181783242036,2021,5,1.03125,0.8340425531914893,1.7222222222222225,1.1111111111111112,True
LOW END,JB,0.8629181783242036,2021,7,1.03125,0.8340425531914893,1.1111111111111112,0.5555555555555556,True
LOW END,JB,0.8629181783242036,2021,8,1.03125,0.8340425531914895,1.2222222222222225,0.5555555555555556,True
LOW END,JB,0.8629181783242036,2021,10,1.03125,1.0425531914893618,1.4444444444444446,1.1111111111111112,True
LOW END,JB,0.8629181783242036,2021,11,1.03125,1.0425531914893618,2.0000000000000004,1.1111111111111112,True
LOW END,JB,0.8629181783242036,2021,12,1.03125,1.0425531914893618,0.2777777777777778,0.5555555555555556,False
LOW END,JC,1.8345616650687795,2020,5,1.0,1.0638297872340425,0.2777777777777778,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,6,1.0,0.9574468085106383,0.2777777777777778,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,8,1.0,1.0638297872340425,0.8333333333333334,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,11,1.0,0.7978723404255319,0.2777777777777778,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,20,1.0,1.0638297872340425,0.6111111111111113,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,25,1.0,0.8895818048422598,1.6111111111111112,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,27,1.0,1.0638297872340425,2.0000000000000004,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2020,28,1.0,1.0638297872340425,2.777777777777778,1.6666666666666667,True
LOW END,JC,1.8345616650687795,2020,29,1.0,1.0638297872340425,1.0000000000000002,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,32,1.0,1.0638297872340425,0.9444444444444445,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,33,1.0,1.0638297872340425,0.6111111111111113,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,35,1.0,1.0638297872340425,3.7222222222222228,1.6666666666666667,True
LOW END,JC,1.8345616650687795,2020,38,1.0,1.0638297872340425,1.388888888888889,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2020,39,1.0,1.0638297872340425,2.444444444444445,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2020,42,1.0,1.0638297872340425,0.9444444444444445,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,43,1.0,1.0638297872340425,1.8333333333333335,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2020,45,1.0,1.0638297872340425,1.6666666666666667,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2020,48,1.0,1.0638297872340425,0.3888888888888889,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2020,49,1.0,1.0638297872340425,0.3888888888888889,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2021,1,1.0,1.0638297872340425,2.3888888888888897,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2021,3,1.0,0.7978723404255319,1.388888888888889,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2021,4,1.0,0.7978723404255319,1.8333333333333335,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2021,5,1.0,0.7978723404255319,0.8333333333333334,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2021,6,1.0,1.0638297872340425,0.9444444444444445,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2021,8,1.0,1.0638297872340425,1.277777777777778,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2021,9,1.0,1.0638297872340425,1.5555555555555556,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2021,10,1.0,1.0638297872340425,1.8333333333333335,1.1111111111111112,True
LOW END,JC,1.8345616650687795,2021,11,1.0,1.0638297872340425,1.0000000000000002,0.5555555555555556,True
LOW END,JC,1.8345616650687795,2021,12,1.0,1.0638297872340425,2.2222222222222223,1.1111111111111112,False
LOW END,JD,1.7605281052155881,2020,5,1.0,1.0106382978723405,1.1111111111111112,0.5555555555555556,True
