vehicle_make,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
AB,KS,202046,4.092767809959989,2020,11,2.578125,1.2421052631578948,0.4666666666666666,0.6666666666666666,True
AB,KS,202047,4.092767809959989,2020,11,2.578125,1.2421052631578946,1.5333333333333334,0.6666666666666666,True
AB,KS,202050,4.092767809959989,2020,12,2.578125,1.2421052631578948,2.1999999999999997,0.6666666666666666,True
AB,KS,202051,4.092767809959989,2020,12,2.578125,1.2421052631578946,1.1333333333333335,0.6666666666666666,True
AB,KS,202053,4.092767809959989,2020,12,2.578125,1.2421052631578948,0.9333333333333332,0.6666666666666666,True
AB,KS,202102,4.092767809959989,2021,1,2.578125,1.2421052631578948,1.5333333333333332,0.6666666666666666,True
AB,KS,202104,4.092767809959989,2021,1,2.578125,1.1178947368421053,2.533333333333333,1.3333333333333333,True
AB,KS,202107,4.092767809959989,2021,2,2.578125,0.9936842105263155,1.6000000000000003,0.6666666666666666,True
AB,KS,202108,4.092767809959989,2021,2,2.578125,1.2421052631578948,1.4000000000000001,0.6666666666666666,True
AB,KS,202110,4.092767809959989,2021,3,2.578125,1.2421052631578948,0.5333333333333333,0.6666666666666666,True
AB,KS,202111,4.092767809959989,2021,3,2.578125,1.2421052631578948,1.0666666666666667,0.6666666666666666,True
AB,KS,202112,4.092767809959989,2021,3,2.578125,1.2421052631578948,2.1333333333333333,1.3333333333333333,True
AB,KS,202116,4.092767809959989,2021,4,2.578125,1.2421052631578948,0.7333333333333334,0.6666666666666666,False
AB,KT,202001,3.964250065007507,2020,1,2.546875,1.2842105263157892,0.9333333333333332,0.6666666666666666,True
AB,KT,202003,3.964250065007507,2020,1,2.546875,1.2842105263157892,0.9333333333333332,0.6666666666666666,True
AB,KT,202004,3.964250065007507,2020,1,2.546875,1.2842105263157892,1.5333333333333334,0.6666666666666666,True
AB,KT,202008,3.964250065007507,2020,2,2.546875,1.1557894736842105,0.4666666666666666,1.3333333333333333,True
AB,KT,202010,3.964250065007507,2020,3,2.546875,1.0273684210526315,1.2666666666666666,0.6666666666666666,True
AB,KT,202011,3.964250065007507,2020,3,2.546875,1.0273684210526315,0.8666666666666667,0.6666666666666666,True
AB,KT,202016,3.964250065007507,2020,4,2.546875,1.0273684210526315,2.066666666666667,1.3333333333333333,True
AB,KT,202019,3.964250065007507,2020,5,2.546875,1.0273684210526315,2.1999999999999997,1.3333333333333333,True
AB,KT,202021,3.964250065007507,2020,5,2.546875,1.2842105263157895,0.4666666666666666,0.6666666666666666,True
AB,KT,202022,3.964250065007507,2020,5,2.546875,1.0273684210526315,1.2666666666666666,0.6666666666666666,True
AB,KU,202005,3.7258444684902323,2020,1,2.609375,1.1368421052631579,1.9333333333333336,1.3333333333333333,True
AB,KU,202012,3.7258444684902323,2020,3,2.609375,0.7389473684210527,0.7333333333333334,0.6666666666666666,True
AB,KU,202013,3.7258444684902323,2020,3,2.609375,0.7389473684210527,1.1333333333333335,0.6666666666666666,True
AB,KU,202014,3.7258444684902323,2020,4,2.609375,0.8526315789473684,1.0666666666666667,0.6666666666666666,True
AB,KU,202018,3.7258444684902323,2020,4,2.609375,0.8526315789473684,0.7999999999999999,0.6666666666666666,True
AB,KU,202019,3.7258444684902323,2020,5,2.609375,1.1368421052631579,1.5999999999999999,1.3333333333333333,True
AB,KU,202020,3.7258444684902323,2020,5,2.609375,0.8526315789473684,2.0,1.3333333333333333,True
AB,KU,202026,3.7258444684902323,2020,6,2.609375,1.1368421052631579,1.4666666666666668,0.6666666666666666,True
AB,KU,202029,3.7258444684902323,2020,7,2.609375,1.1368421052631579,2.5333333333333337,1.3333333333333333,True
AB,KU,202038,3.7258444684902323,2020,9,2.609375,0.7957894736842104,1.5333333333333334,0.6666666666666666,True
AB,KU,202039,3.7258444684902323,2020,9,2.609375,1.1368421052631579,0.4666666666666666,0.6666666666666666,True
AB,KU,202045,3.7258444684902323,2020,11,2.609375,1.2421052631578948,1.9333333333333333,0.6666666666666666,True
AB,KU,202051,3.7258444684902323,2020,12,2.609375,0.8694736842105263,2.533333333333333,1.3333333333333333,True
AB,KU,202104,3.7258444684902323,2021,1,2.609375,0.9315789473684211,3.9333333333333336,2.0,True
AB,KU,202105,3.7258444684902323,2021,2,2.609375,0.9315789473684213,5.399999999999999,0.6666666666666666,True
AB,KU,202106,3.7258444684902323,2021,2,2.609375,0.931578947368421,3.133333333333334,1.3333333333333333,True
AB,KU,202108,3.7258444684902323,2021,2,2.609375,1.2421052631578946,1.5333333333333334,0.6666666666666666,True
AB,KU,202110,3.7258444684902323,2021,3,2.609375,1.2421052631578948,1.4666666666666668,0.6666666666666666,True
AB,KU,202114,3.7258444684902323,2021,4,2.609375,1.2421052631578948,1.0,0.6666666666666666,False
AB,KU,202115,3.7258444684902323,2021,4,2.609375,1.2421052631578948,1.4666666666666668,0.6666666666666666,False
AB,KU,202117,3.7258444684902323,2021,4,2.609375,1.2421052631578946,1.6000000000000003,0.6666666666666666,False
AB,KV,201951,3.956935671925984,2019,12,2.546875,1.236842105263158,0.9333333333333332,0.6666666666666666,True
AB,KV,202001,3.956935671925984,2020,1,2.546875,1.236842105263158,0.3333333333333333,0.6666666666666666,True
AB,KV,202004,3.956935671925984,2020,1,2.546875,1.236842105263158,0.6666666666666666,0.6666666666666666,True
AB,KV,202012,3.956935671925984,2020,3,2.546875,0.9894736842105263,1.2666666666666666,0.6666666666666666,True
AB,KV,202013,3.956935671925984,2020,3,2.546875,0.9894736842105263,0.9333333333333332,0.6666666666666666,True
AB,KV,202014,3.956935671925984,2020,4,2.546875,1.236842105263158,0.4666666666666666,0.6666666666666666,True
AB,KV,202021,3.956935671925984,2020,5,2.546875,1.236842105263158,1.9333333333333336,1.3333333333333333,True
AB,KV,202022,3.956935671925984,2020,5,2.546875,1.236842105263158,3.0,2.0,True
