year_week,target_1,ds,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,target_2,target_3,target_4,number_of_holidays,number_of_holidays_next_week,number_of_holidays_previous_week
202014,0.6540642722117203,2020-03-30,0.9546313799621928,0.7372400756143668,0.8412098298676749,0.8449905482041588,1.005671077504726,0.7901701323251418,0.7637051039697542,0.7693761814744802,0.9149338374291115,0.4820415879017013,0.4499054820415879,0.77882797731569,0,2,0
202015,0.4820415879017013,2020-04-06,0.6540642722117203,0.9546313799621928,0.7372400756143668,0.8412098298676749,0.8449905482041588,1.005671077504726,0.7901701323251418,0.7637051039697542,0.7693761814744802,0.4499054820415879,0.77882797731569,0.9035916824196597,2,1,0
202016,0.4499054820415879,2020-04-13,0.4820415879017013,0.6540642722117203,0.9546313799621928,0.7372400756143668,0.8412098298676749,0.8449905482041588,1.005671077504726,0.7901701323251418,0.7637051039697542,0.77882797731569,0.9035916824196597,1.0699432892249527,1,0,2
202017,0.77882797731569,2020-04-20,0.4499054820415879,0.4820415879017013,0.6540642722117203,0.9546313799621928,0.7372400756143668,0.8412098298676749,0.8449905482041588,1.005671077504726,0.7901701323251418,0.9035916824196597,1.0699432892249527,1.1209829867674859,0,1,1
202018,0.9035916824196597,2020-04-27,0.77882797731569,0.4499054820415879,0.4820415879017013,0.6540642722117203,0.9546313799621928,0.7372400756143668,0.8412098298676749,0.8449905482041588,1.005671077504726,1.0699432892249527,1.1209829867674859,0.943289224952741,1,0,0
202019,1.0699432892249527,2020-05-04,0.9035916824196597,0.77882797731569,0.4499054820415879,0.4820415879017013,0.6540642722117203,0.9546313799621928,0.7372400756143668,0.8412098298676749,0.8449905482041588,1.1209829867674859,0.943289224952741,1.272211720226843,0,0,1
202020,1.1209829867674859,2020-05-11,1.0699432892249527,0.9035916824196597,0.77882797731569,0.4499054820415879,0.4820415879017013,0.6540642722117203,0.9546313799621928,0.7372400756143668,0.8412098298676749,0.943289224952741,1.272211720226843,1.1909262759924386,0,1,0
202021,0.943289224952741,2020-05-18,1.1209829867674859,1.0699432892249527,0.9035916824196597,0.77882797731569,0.4499054820415879,0.4820415879017013,0.6540642722117203,0.9546313799621928,0.7372400756143668,1.272211720226843,1.1909262759924386,1.1455576559546314,1,1,0
202022,1.272211720226843,2020-05-25,0.943289224952741,1.1209829867674859,1.0699432892249527,0.9035916824196597,0.77882797731569,0.4499054820415879,0.4820415879017013,0.6540642722117203,0.9546313799621928,1.1909262759924386,1.1455576559546314,1.0415879017013232,1,1,1
202023,1.1909262759924386,2020-06-01,1.272211720226843,0.943289224952741,1.1209829867674859,1.0699432892249527,0.9035916824196597,0.77882797731569,0.4499054820415879,0.4820415879017013,0.6540642722117203,1.1455576559546314,1.0415879017013232,1.5141776937618148,1,0,1
202024,1.1455576559546314,2020-06-08,1.1909262759924386,1.272211720226843,0.943289224952741,1.1209829867674859,1.0699432892249527,0.9035916824196597,0.77882797731569,0.4499054820415879,0.4820415879017013,1.0415879017013232,1.5141776937618148,1.3629489603024574,0,2,1
202025,1.0415879017013232,2020-06-15,1.1455576559546314,1.1909262759924386,1.272211720226843,0.943289224952741,1.1209829867674859,1.0699432892249527,0.9035916824196597,0.77882797731569,0.4499054820415879,1.5141776937618148,1.3629489603024574,1.1814744801512287,2,0,0
202026,1.5141776937618148,2020-06-22,1.0415879017013232,1.1455576559546314,1.1909262759924386,1.272211720226843,0.943289224952741,1.1209829867674859,1.0699432892249527,0.9035916824196597,0.77882797731569,1.3629489603024574,1.1814744801512287,1.0283553875236295,0,0,2
202027,1.3629489603024574,2020-06-29,1.5141776937618148,1.0415879017013232,1.1455576559546314,1.1909262759924386,1.272211720226843,0.943289224952741,1.1209829867674859,1.0699432892249527,0.9035916824196597,1.1814744801512287,1.0283553875236295,0.8827977315689981,0,0,0
202028,1.1814744801512287,2020-07-06,1.3629489603024574,1.5141776937618148,1.0415879017013232,1.1455576559546314,1.1909262759924386,1.272211720226843,0.943289224952741,1.1209829867674859,1.0699432892249527,1.0283553875236295,0.8827977315689981,0.9829867674858223,0,0,0
202029,1.0283553875236295,2020-07-13,1.1814744801512287,1.3629489603024574,1.5141776937618148,1.0415879017013232,1.1455576559546314,1.1909262759924386,1.272211720226843,0.943289224952741,1.1209829867674859,0.8827977315689981,0.9829867674858223,1.0586011342155008,0,0,0
202030,0.8827977315689981,2020-07-20,1.0283553875236295,1.1814744801512287,1.3629489603024574,1.5141776937618148,1.0415879017013232,1.1455576559546314,1.1909262759924386,1.272211720226843,0.943289224952741,0.9829867674858223,1.0586011342155008,1.2608695652173914,0,0,0
202031,0.9829867674858223,2020-07-27,0.8827977315689981,1.0283553875236295,1.1814744801512287,1.3629489603024574,1.5141776937618148,1.0415879017013232,1.1455576559546314,1.1909262759924386,1.272211720226843,1.0586011342155008,1.2608695652173914,1.2117202268431002,0,0,0
202032,1.0586011342155008,2020-08-03,0.9829867674858223,0.8827977315689981,1.0283553875236295,1.1814744801512287,1.3629489603024574,1.5141776937618148,1.0415879017013232,1.1455576559546314,1.1909262759924386,1.2608695652173914,1.2117202268431002,1.5236294896030245,0,0,0
202033,1.2608695652173914,2020-08-10,1.0586011342155008,0.9829867674858223,0.8827977315689981,1.0283553875236295,1.1814744801512287,1.3629489603024574,1.5141776937618148,1.0415879017013232,1.1455576559546314,1.2117202268431002,1.5236294896030245,1.2003780718336483,0,0,0
202034,1.2117202268431002,2020-08-17,1.2608695652173914,1.0586011342155008,0.9829867674858223,0.8827977315689981,1.0283553875236295,1.1814744801512287,1.3629489603024574,1.5141776937618148,1.0415879017013232,1.5236294896030245,1.2003780718336483,1.1342155009451795,0,0,0
202035,1.5236294896030245,2020-08-24,1.2117202268431002,1.2608695652173914,1.0586011342155008,0.9829867674858223,0.8827977315689981,1.0283553875236295,1.1814744801512287,1.3629489603024574,1.5141776937618148,1.2003780718336483,1.1342155009451795,1.1776937618147447,0,0,0
202036,1.2003780718336483,2020-08-31,1.5236294896030245,1.2117202268431002,1.2608695652173914,1.0586011342155008,0.9829867674858223,0.8827977315689981,1.0283553875236295,1.1814744801512287,1.3629489603024574,1.1342155009451795,1.1776937618147447,1.1266540642722118,0,0,0
202037,1.1342155009451795,2020-09-07,1.2003780718336483,1.5236294896030245,1.2117202268431002,1.2608695652173914,1.0586011342155008,0.9829867674858223,0.8827977315689981,1.0283553875236295,1.1814744801512287,1.1776937618147447,1.1266540642722118,1.168241965973535,0,0,0
202038,1.1776937618147447,2020-09-14,1.1342155009451795,1.2003780718336483,1.5236294896030245,1.2117202268431002,1.2608695652173914,1.0586011342155008,0.9829867674858223,0.8827977315689981,1.0283553875236295,1.1266540642722118,1.168241965973535,1.168241965973535,0,0,0
202039,1.1266540642722118,2020-09-21,1.1776937618147447,1.1342155009451795,1.2003780718336483,1.5236294896030245,1.2117202268431002,1.2608695652173914,1.0586011342155008,0.9829867674858223,0.8827977315689981,1.168241965973535,1.168241965973535,1.0415879017013232,0,0,0
202040,1.168241965973535,2020-09-28,1.1266540642722118,1.1776937618147447,1.1342155009451795,1.2003780718336483,1.5236294896030245,1.2117202268431002,1.2608695652173914,1.0586011342155008,0.9829867674858223,1.168241965973535,1.0415879017013232,1.2098298676748582,0,0,0
