demand_value,date
0.9411764705882353,2021-02-15
0.9215686274509803,2021-02-16
1.0980392156862746,2021-02-17
0.9313725490196079,2021-02-18
0.9705882352941176,2021-02-19
0.00980392156862745,2021-02-20
0.9215686274509803,2021-02-22
1.107843137254902,2021-02-23
1.1274509803921569,2021-02-24
1.3137254901960784,2021-02-25
1.3235294117647058,2021-02-26
0.029411764705882353,2021-02-27
0.9705882352941176,2021-03-01
0.9607843137254902,2021-03-02
1.0196078431372548,2021-03-03
1.1372549019607843,2021-03-04
1.1764705882352942,2021-03-05
0.00980392156862745,2021-03-06
0.9509803921568627,2021-03-08
1.1470588235294117,2021-03-09
1.107843137254902,2021-03-10
1.0490196078431373,2021-03-11
1.0196078431372548,2021-03-12
0.00980392156862745,2021-03-13
0.9411764705882353,2021-03-15
0.8235294117647058,2021-03-16
1.0588235294117647,2021-03-17
0.8921568627450981,2021-03-18
1.0784313725490196,2021-03-19
0.029411764705882353,2021-03-20
0.8725490196078431,2021-03-22
0.9313725490196079,2021-03-23
1.0294117647058822,2021-03-24
1.107843137254902,2021-03-25
1.2549019607843137,2021-03-26
0.06862745098039216,2021-03-27
1.0784313725490196,2021-03-29
1.2058823529411764,2021-03-30
1.3235294117647058,2021-03-31
1.0196078431372548,2021-04-01
0.00980392156862745,2021-04-03
1.1372549019607843,2021-04-06
1.0980392156862746,2021-04-07
1.2647058823529411,2021-04-08
1.2450980392156863,2021-04-09
0.00980392156862745,2021-04-10
1.107843137254902,2021-04-12
1.2254901960784315,2021-04-13
1.088235294117647,2021-04-14
1.2254901960784315,2021-04-15
1.1372549019607843,2021-04-16
0.0196078431372549,2021-04-17
0.9607843137254902,2021-04-19
1.0686274509803921,2021-04-20
1.0980392156862746,2021-04-21
1.0392156862745099,2021-04-22
1.1372549019607843,2021-04-23
0.0196078431372549,2021-04-24
1.1666666666666667,2021-04-26
1.1764705882352942,2021-04-27
1.3431372549019607,2021-04-28
1.0392156862745099,2021-04-29
1.0784313725490196,2021-04-30
1.0098039215686274,2021-05-03
1.2941176470588236,2021-05-04
1.0196078431372548,2021-05-05
0.9803921568627451,2021-05-06
0.8431372549019608,2021-05-07
0.0392156862745098,2021-05-08
0.9705882352941176,2021-05-10
1.1176470588235294,2021-05-11
0.9019607843137255,2021-05-12
0.9019607843137255,2021-05-14
0.049019607843137254,2021-05-15
0.7941176470588235,2021-05-17
1.0098039215686274,2021-05-18
1.0490196078431373,2021-05-19
1.0980392156862746,2021-05-20
0.8921568627450981,2021-05-21
0.0196078431372549,2021-05-22
0.8823529411764706,2021-05-24
1.0784313725490196,2021-05-25
1.2450980392156863,2021-05-26
1.2843137254901962,2021-05-27
1.0,2021-05-28
0.00980392156862745,2021-05-29
